,genre,keywords,director,popularity,tagline,original_title,imdb_id,id
0,action adventure fiction science,android death empire force galactic galaxy hermit jedi lightsaber mission opera planet rebellion rescue smuggler space star stormtrooper the totalitarianism war,George Lucas,42.149697,"a long time ago in a galaxy far, far away...",Star Wars,76759,0
1,animation family,aftercreditsstinger barrier child clownfish duringcreditsstinger father father father fish great harbor loss memory missing protective reef relationship reunion short son son tank term underwater,Andrew Stanton,25.497794,there are 3.7 trillion fish in the ocean. they're looking for one.,Finding Nemo,266543,1
2,comedy drama romance,amputee based bench bully disabled family flashback friendship hippie hugging love mentally military mother novel on park relationship relationships running shrimping soldier son veteran vietnam vietnam vietnam war wounded,Robert Zemeckis,48.307194,"the world will never be the same, once you've seen it through the eyes of forrest gump.",Forrest Gump,109830,2
3,drama,adultery affair age agent bittersweet camcorder child comedy coming coming crisis dark estate exercise female film first loneliness maker male marijuana midlife nudity nudity nudity of out parent relationship satire suburbia time virgin,Sam Mendes,20.726578,look closer.,American Beauty,169547,3
4,drama mystery,art banker capitalist child collector florida journalist media money newspaper sleigh tycoon,Orson Welles,15.811921,it's terrific!,Citizen Kane,33467,4
5,crime drama music,and and blindness crime czech dance dancing death death debt disease dying execution eye eyesight eyesight factory factory fantasy friendship hereditary immigrant impaired individual loss murder naivety of officer operation penalty police robbery secret self-abandonment small teacher town usa van vision worker,Lars von Trier,10.684806,you don't need eyes to see.,Dancer in the Dark,168629,5
6,action adventure fantasy fiction science thriller,against alien ancient ancient archeologist arms astronaut cab chase city clone cruise cyborg dealer driver egypt end evil evil future good hotel liner love military new of opera opera police priest race resort shootout singer space space stowaway taxi the time travel vs world york,Luc Besson,24.30526,there is no future without it.,The Fifth Element,119116,6
7,drama fiction science,babel chase class delirium depravity destruction downtrodden dystopia film future inventor machine machine mad man masterpiece metropolis of prophet robot saviour scene scientist silent society tower town underground vs work worker world,Fritz Lang,14.487867,there can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,17136,7
8,drama romance,and daughter daughter death director dying farewell love mother night relationship responsability secret shift woman,Isabel Coixet,10.310508,,My Life Without Me,314412,8
9,action adventure fantasy,aftercreditsstinger alcoholic blacksmith capuchin caribbean coin company daughter east exotic eye gold gold governor india island jamaica marriage monkey mutiny pirate pirate proposal ship skeleton swashbuckler tortuga trading wooden,Gore Verbinski,47.326665,prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,325980,9
10,action crime,animation arts blood bride coma female fu gore japan kung martial part revenge samurai sword sword underworld wedding yakuza yakuza,Quentin Tarantino,25.261865,go for the kill.,Kill Bill: Vol. 1,266697,10
11,drama music romance,and blow concert condom couple desire ejaculation england erection explicit fantasy fellatio female hair intercourse job london male nudity orgasm penetration penis pubic rock roll safe semen sex sex sex sex sexual sexual unsimulated vulva,Michael Winterbottom,18.847707,"2 lovers, one summer, and the 9 songs that defined them.",9 Songs,411705,11
