,id,original_title,genre
0,862,Toy Story,Animation
1,862,Toy Story,Comedy
2,862,Toy Story,Family
3,8844,Jumanji,Adventure
4,8844,Jumanji,Fantasy
5,8844,Jumanji,Family
6,15602,Grumpier Old Men,Romance
7,15602,Grumpier Old Men,Comedy
8,31357,Waiting to Exhale,Comedy
9,31357,Waiting to Exhale,Drama
10,31357,Waiting to Exhale,Romance
11,11862,Father of the Bride Part II,Comedy
12,949,Heat,Action
13,949,Heat,Crime
14,949,Heat,Drama
15,949,Heat,Thriller
16,11860,Sabrina,Comedy
17,11860,Sabrina,Romance
18,45325,Tom and Huck,Action
19,45325,Tom and Huck,Adventure
20,45325,Tom and Huck,Drama
21,45325,Tom and Huck,Family
22,9091,Sudden Death,Action
23,9091,Sudden Death,Adventure
24,9091,Sudden Death,Thriller
25,710,GoldenEye,Adventure
26,710,GoldenEye,Action
27,710,GoldenEye,Thriller
28,9087,The American President,Comedy
29,9087,The American President,Drama
30,9087,The American President,Romance
31,12110,Dracula: Dead and Loving It,Comedy
32,12110,Dracula: Dead and Loving It,Horror
33,21032,Balto,Family
34,21032,Balto,Animation
35,21032,Balto,Adventure
36,10858,Nixon,History
37,10858,Nixon,Drama
38,1408,Cutthroat Island,Action
39,1408,Cutthroat Island,Adventure
40,524,Casino,Drama
41,524,Casino,Crime
42,4584,Sense and Sensibility,Drama
43,4584,Sense and Sensibility,Romance
44,5,Four Rooms,Crime
45,5,Four Rooms,Comedy
46,9273,Ace Ventura: When Nature Calls,Crime
47,9273,Ace Ventura: When Nature Calls,Comedy
48,9273,Ace Ventura: When Nature Calls,Adventure
49,11517,Money Train,Action
50,11517,Money Train,Comedy
51,11517,Money Train,Crime
52,8012,Get Shorty,Comedy
53,8012,Get Shorty,Thriller
54,8012,Get Shorty,Crime
55,1710,Copycat,Drama
56,1710,Copycat,Thriller
57,9691,Assassins,Action
58,9691,Assassins,Adventure
59,9691,Assassins,Crime
60,9691,Assassins,Thriller
61,12665,Powder,Drama
62,12665,Powder,Fantasy
63,12665,Powder,Science Fiction
64,12665,Powder,Thriller
65,451,Leaving Las Vegas,Drama
66,451,Leaving Las Vegas,Romance
67,16420,Othello,Drama
68,9263,Now and Then,Comedy
69,9263,Now and Then,Drama
70,9263,Now and Then,Family
71,17015,Persuasion,Drama
72,17015,Persuasion,Romance
73,902,La Cité des Enfants Perdus,Fantasy
74,902,La Cité des Enfants Perdus,Science Fiction
75,902,La Cité des Enfants Perdus,Adventure
76,37557,摇啊摇，摇到外婆桥,Drama
77,37557,摇啊摇，摇到外婆桥,Crime
78,9909,Dangerous Minds,Drama
79,9909,Dangerous Minds,Crime
80,63,Twelve Monkeys,Science Fiction
81,63,Twelve Monkeys,Thriller
82,63,Twelve Monkeys,Mystery
83,9598,Babe,Fantasy
84,9598,Babe,Drama
85,9598,Babe,Comedy
86,9598,Babe,Family
87,47018,Carrington,History
88,47018,Carrington,Drama
89,47018,Carrington,Romance
90,687,Dead Man Walking,Drama
91,139405,Across the Sea of Time,Adventure
92,139405,Across the Sea of Time,History
93,139405,Across the Sea of Time,Drama
94,139405,Across the Sea of Time,Family
95,33689,It Takes Two,Comedy
96,33689,It Takes Two,Family
97,33689,It Takes Two,Romance
98,9603,Clueless,Comedy
99,9603,Clueless,Drama
100,9603,Clueless,Romance
101,34615,"Cry, the Beloved Country",Drama
102,31174,Richard III,Drama
103,31174,Richard III,War
104,11443,Dead Presidents,Action
105,11443,Dead Presidents,Crime
106,11443,Dead Presidents,Drama
107,11443,Dead Presidents,History
108,35196,Restoration,Drama
109,35196,Restoration,Romance
110,9312,Mortal Kombat,Action
111,9312,Mortal Kombat,Fantasy
112,577,To Die For,Fantasy
113,577,To Die For,Drama
114,577,To Die For,Comedy
115,577,To Die For,Thriller
116,11861,How To Make An American Quilt,Drama
117,11861,How To Make An American Quilt,Romance
118,807,Se7en,Crime
119,807,Se7en,Mystery
120,807,Se7en,Thriller
121,10530,Pocahontas,Adventure
122,10530,Pocahontas,Animation
123,10530,Pocahontas,Drama
124,10530,Pocahontas,Family
125,8391,When Night Is Falling,Drama
126,8391,When Night Is Falling,Romance
127,629,The Usual Suspects,Drama
128,629,The Usual Suspects,Crime
129,629,The Usual Suspects,Thriller
130,117164,Guardian Angel,Action
131,117164,Guardian Angel,Thriller
132,117164,Guardian Angel,Drama
133,11448,Mighty Aphrodite,Comedy
134,11448,Mighty Aphrodite,Romance
135,49133,Lamerica,Drama
136,49133,Lamerica,Foreign
137,26441,The Big Green,Action
138,26441,The Big Green,Adventure
139,26441,The Big Green,Comedy
140,26441,The Big Green,Family
141,97406,Georgia,Drama
143,9089,Home for the Holidays,Comedy
144,9089,Home for the Holidays,Drama
145,9089,Home for the Holidays,Romance
146,11010,Il postino,Comedy
147,11010,Il postino,Drama
148,11010,Il postino,Romance
149,99040,Le confessionnal,Thriller
150,99040,Le confessionnal,Drama
151,99040,Le confessionnal,Mystery
152,11359,The Indian in the Cupboard,Adventure
153,11359,The Indian in the Cupboard,Family
154,11359,The Indian in the Cupboard,Fantasy
