,id,original_title,collection
0,862,Toy Story,Toy Story Collection
1,15602,Grumpier Old Men,Grumpy Old Men Collection
2,11862,Father of the Bride Part II,Father of the Bride Collection
3,710,GoldenEye,James Bond Collection
4,21032,Balto,Balto Collection
5,9273,Ace Ventura: When Nature Calls,Ace Ventura Collection
6,8012,Get Shorty,Chili Palmer Collection
7,9598,Babe,Babe Collection
8,9312,Mortal Kombat,Mortal Kombat Collection
9,10530,Pocahontas,Pocahontas Collection
10,11525,Lawnmower Man 2: Beyond Cyberspace,The Lawnmower Man Collection
11,10634,Friday,Friday Collection
12,755,From Dusk Till Dawn,From Dusk Till Dawn Collection
13,9102,Screamers,Screamers Collection
14,10874,Muppet Treasure Island,The Muppet Collection
15,27793,The NeverEnding Story III,The Neverending Story Collection
16,9737,Bad Boys,Bad Boys Collection
17,414,Batman Forever,Batman Collection
18,5894,Blue in the Face,Brooklyn Cigar Store Collection
19,8839,Casper,Casper Collection
20,8068,Desperado,Mexico Trilogy
21,1572,Die Hard: With a Vengeance,Die Hard Collection
22,13552,The Doom Generation,Teenage Apocalypse Trilogy
23,9073,Free Willy 2 - The Adventure Home,Free Willy Collection
24,9070,Mighty Morphin Power Rangers: The Movie,Power Rangers Collection
25,1642,The Net,Síť (kolekce)
26,11980,The Prophecy,The Prophecy Collection
27,10802,Showgirls,Showgirls Collection
28,10149,Smoke,Brooklyn Cigar Store Collection
29,9348,Species,Species Collection
30,3512,Under Siege 2: Dark Territory,Under Siege Collection
31,50797,Утомлённые солнцем,Burnt by the Sun Trilogy
32,76,Before Sunrise,Before... Collection
33,2292,Clerks,Clerks Collection
34,8467,Dumb and Dumber,Dumb and Dumber Collection
35,15789,A Goofy Movie,A Goofy Movie Collection
36,628,Interview with the Vampire,The Vampire Chronicles
37,11,Star Wars,Star Wars Collection
38,63105,Nemesis 2 - Nebula,Nemesis Collection
39,527,Once Were Warriors,Once were Warriors Collection
40,18220,Poison Ivy II: Lily,Poison Ivy Collection
41,110,Trois couleurs : Rouge,Three Colors Collection
42,108,Trois couleurs : Bleu,Three Colors Collection
43,109,Trois couleurs : Blanc,Three Colors Collection
44,22586,The Swan Princess,Swan Princess Series
45,11395,The Santa Clause,The Santa Clause Collection
46,9059,Tales from the Crypt: Demon Knight,Tales from the Crypt Collection
47,193,Star Trek: Generations,Star Trek: The Next Generation Collection
48,3049,Ace Ventura: Pet Detective,Ace Ventura Collection
49,9331,Clear and Present Danger,The Jack Ryan Collection
50,9495,The Crow,The Crow Collection
51,888,The Flintstones,The Flintstones (Live-Action) Collection
52,8587,The Lion King,The Lion King Collection
53,11596,New Nightmare,A Nightmare on Elm Street Collection
54,854,The Mask,The Mask Collection
55,36593,The Naked Gun 33⅓: The Final Insult,Naked Gun Collection
56,11011,Ri¢hie Ri¢h,Richie Rich Collection
57,1637,Speed,Speed Collection
58,8831,Timecop,Timecop Collection
59,11667,Street Fighter,Street Fighter
60,75555,The Fear,Fear Collection
61,8011,Highlander III: The Sorcerer,Highlander Collection
62,2758,Addams Family Values,Addams Family Collection
63,9409,Another Stakeout,Stakeout Collection
64,306,Beverly Hills Cop III,Beverly Hills Cop Collection
65,11310,City Slickers II: The Legend of Curly's Gold,City Slickers Collection
66,24257,The Endless Summer 2,The Endless Summer Collection
67,1634,Free Willy,Free Willy Collection
68,5503,The Fugitive,The Fugitive / U.S. Marshals Collection
69,2019,Hard Target,Hard Target Collection
70,9255,Hot Shots! Part Deux,Hot Shots! Collection
71,16097,House Party 3,House Party Collection
72,329,Jurassic Park,Jurassic Park Collection
73,11231,The Next Karate Kid,The Karate Kid Collection
74,5550,RoboCop 3,RoboCop Collection
75,11236,The Secret Garden,The Secret Garden Collection
76,8850,The Shadow,The Shadow Collection
77,78,Blade Runner,Blade Runner Collection
78,9066,The Brady Bunch Movie,The Brady Bunch Collection
79,771,Home Alone,Home Alone Collection
80,812,Aladdin,Aladdin Collection
81,280,Terminator 2: Judgment Day,The Terminator Collection
82,268,Batman,Batman Collection
83,274,The Silence of the Lambs,The Hannibal Lecter Anthology
84,10020,Beauty and the Beast,Beauty and the Beast Collection
85,10824,Candyman: Farewell to the Flesh,Candyman Collection
86,25059,Homeward Bound II: Lost in San Francisco,Homeward Bound Collection
87,11827,Heavy Metal,Heavy Metal Collection
88,8766,Hellraiser: Bloodline,Hellraiser Collection
89,19042,All Dogs Go to Heaven 2,All Dogs Go to Heaven Collection
90,954,Mission: Impossible,Mission: Impossible Collection
91,8840,DragonHeart,DragonHeart Collection
92,25087,Bloodsport II,Bloodsport Collection
93,5801,পথের পাঁচালী,The Apu Collection
94,896,অপুর সংসার,The Apu Collection
95,8072,"Alphaville, une étrange aventure de Lemmy Caution",Lemmy Caution Collection
96,20762,The Substitute,The Substitute Collection
97,11687,Les visiteurs,The Visitors Collection
98,9323,GHOST IN THE SHELL,Ghost in the Shell Collection
99,532,A Close Shave,Wallace & Gromit Collection
100,10547,The Arrival,The Arrival Collection
101,77771,Touki-Bouki,"Martin Scorsese’s World Cinema Project, Vol. 1"
102,627,Trainspotting,Trainspotting Collection
103,602,Independence Day,Independence Day Collection
104,10545,The Hunchback of Notre Dame,The Hunchback of Notre Dame Collection
105,9327,The Nutty Professor,The Nutty Professor Collection
106,12606,A Very Brady Sequel,The Brady Bunch Collection
107,10546,The Crow: City of Angels,The Crow Collection
108,9431,Bordello of Blood,Tales from the Crypt Collection
109,10061,Escape from L.A.,Escape From ... Collection
110,238,The Godfather,The Godfather Collection
111,11134,警察故事 III：超級警察,Police Story Collection
112,38955,超级计划,Police Story Collection
113,19004,The Land Before Time III: The Time of the Great Giving,The Land Before Time Collection
114,10987,Halloween: The Curse of Michael Myers,Halloween Collection
115,62,2001: A Space Odyssey,The Space Odyssey Series
116,3529,The Thin Man,The Thin Man Collection
117,10331,Night of the Living Dead,Living Dead Collection
118,39448,Huang jia shi jie,In the Line of Duty Collection
119,10680,D3: The Mighty Ducks,The Mighty Ducks Collection
120,18660,The Apple Dumpling Gang,The Apple Dumpling Gang Collection
121,35115,"Davy Crockett, King of the Wild Frontier",Davy Crockett Collection
122,14821,Escape to Witch Mountain,Witch Mountain Collection
123,14136,The Love Bug,Herbie Collection
124,10869,Herbie Rides Again,Herbie Collection
125,19186,The Parent Trap,Parent Trap Collection
126,6878,Homeward Bound: The Incredible Journey,Homeward Bound Collection
127,15944,The Shaggy Dog,The Shaggy Dog Collection
128,11224,Cinderella,Cinderella Collection
129,15947,The Three Caballeros,Caballeros Collection
130,10948,The Fox and the Hound,The Fox and the Hound Collection
131,11229,Freeway,Freeway Collection
132,562,Die Hard,Die Hard Collection
133,10163,The Lawnmower Man,The Lawnmower Man Collection
134,11238,Aladdin and the King of Thieves,Aladdin Collection
135,88,Dirty Dancing,Dirty Dancing Collection
136,8491,Weekend at Bernie's,Weekend at Bernie's Collection
137,402,Basic Instinct,Basic Instinct Collection
138,25750,Children of the Corn IV: The Gathering,Children of the Corn Collection
139,11843,The Return of the Pink Panther,The Pink Panther (Original) Collection
140,1103,Escape from New York,Escape From ... Collection
141,11298,The Howling,The Howling Collection
142,4480,Jean de Florette,The Water of the Hills Collection
143,4481,Manon des Sources,The Water of the Hills Collection
144,531,The Wrong Trousers,Wallace & Gromit Collection
145,36555,Best of the Best 3: No Turning Back,Best of the Best Collection
146,11455,Up in Smoke,Cheech & Chong Collection
147,1891,The Empire Strikes Back,Star Wars Collection
148,85,Raiders of the Lost Ark,Indiana Jones Collection
149,679,Aliens,Alien Collection
150,429,"Il buono, il brutto, il cattivo",The Man With No Name Collection
151,1892,Return of the Jedi,Star Wars Collection
152,348,Alien,Alien Collection
153,766,Army of Darkness,Evil Dead Collection
154,539,Psycho,Psycho Collection
155,525,The Blues Brothers,The Blues Brothers Collection
156,240,The Godfather: Part II,The Godfather Collection
157,530,A Grand Day Out,Wallace & Gromit Collection
158,9277,The Sting,The Sting Collection
159,218,The Terminator,The Terminator Collection
160,829,Chinatown,The Jake Gittes Collection
161,765,Evil Dead II,Evil Dead Collection
162,105,Back to the Future,Back to the Future Collection
163,8009,Highlander,Highlander Collection
164,756,Fantasia,Fantasia Collection
165,11314,Koyaanisqatsi,Qatsi Collection
166,89,Indiana Jones and the Last Crusade,Indiana Jones Collection
167,8077,Alien³,Alien Collection
168,41671,Amityville: It's About Time,The Amityville Horror Collection
169,27214,Amityville 3-D,The Amityville Horror Collection
170,52263,Amityville: Dollhouse,The Amityville Horror Collection
171,33519,Amityville: A New Generation,The Amityville Horror Collection
172,16235,Amityville II: The Possession,The Amityville Horror Collection
173,11449,The Amityville Horror,The Amityville Horror Collection
174,41848,The Amityville Curse,The Amityville Horror Collection
175,8851,The Blob,The Blob Collection
176,229,Bride of Frankenstein,Frankenstein (Universal Series)
177,9529,Candyman,Candyman Collection
178,7340,Carrie,Carrie Collection
179,377,A Nightmare on Elm Street,A Nightmare on Elm Street Collection
180,794,The Omen,The Omen Collection
181,145,Breaking the Waves,Heart of Gold Collection
182,199,Star Trek: First Contact,Star Trek: The Next Generation Collection
183,9279,Jingle All the Way,Jingle All the Way Collection
184,17204,Paradise Lost: The Child Murders at Robin Hood Hills,Paradise Lost Collection
185,11674,101 Dalmatians,101 Dalmatians (Live-Action) Collection
186,1573,Die Hard 2,Die Hard Collection
187,152,Star Trek: The Motion Picture,Star Trek: The Original Series Collection
188,174,Star Trek VI: The Undiscovered Country,Star Trek: The Original Series Collection
189,172,Star Trek V: The Final Frontier,Star Trek: The Original Series Collection
190,154,Star Trek II: The Wrath of Khan,Star Trek: The Original Series Collection
191,157,Star Trek III: The Search for Spock,Star Trek: The Original Series Collection
192,168,Star Trek IV: The Voyage Home,Star Trek: The Original Series Collection
193,364,Batman Returns,Batman Collection
194,11967,Young Guns,Young Guns Collection
195,9086,Young Guns II,Young Guns Collection
196,621,Grease,Grease Collection
197,9037,Grease 2,Grease Collection
198,8845,Under Siege,Under Siege Collection
199,578,Jaws,The Jaws Collection
200,579,Jaws 2,The Jaws Collection
201,17692,Jaws 3-D,The Jaws Collection
202,4232,Scream,Scream Collection
203,34314,Turbulence,Turbulence Collection
204,9404,警察故事4之簡單任務,Police Story Collection
205,14908,McHale's Navy,McHale's Navy Collection
